	886	749	849	909	352	
	959	849	788	1053	324	
	942	867	930	1064	365	
	820	817	816	929	336	
	803	786	929	958	329	
	814	810	917	994	357	
	891	806	898	1060	390	
	826	813	844	1007	773	
	890	869	787	949	387	
	868	754	818	1061	327	
	870	795	925	1023	324	
	911	811	863	928	379	
	815	847	939	939	394	
	937	765	906	908	351	
	862	737	877	979	326	
	942	3113	945	1021	386	
	954	754	897	1045	327	
	917	860	837	901	380	
	866	876	897	922	357	
	2245	811	783	1043	395	
	796	769	3530	942	348	
	836	740	783	893	375	
	907	845	886	1051	369	
	880	744	905	976	388	
	808	764	781	2015	329	
	809	807	922	1006	380	
	804	878	938	1066	372	
	819	764	945	948	382	
	914	787	804	981	376	
	844	859	2359	1035	1131	
	845	734	803	919	379	
	872	851	933	891	356	
	913	877	795	1025	350	
	872	860	815	962	349	
	918	879	800	996	393	
	838	809	914	983	382	
	822	856	903	1067	332	
	2862	761	839	1024	373	
	913	785	782	926	376	
	798	832	824	1068	380	
	926	799	911	945	367	
	846	802	931	1009	344	
	907	871	857	923	336	
	924	1715	849	972	346	
	847	829	862	1033	385	
	922	802	856	1016	375	
	877	790	908	1063	368	
	854	775	815	970	358	
	827	864	895	1057	391	
	815	737	926	926	385	
